FrameId	type	name	sense
1071	name	People_by_vocation	career.n.01
1071	FE	Origin	origin.n.02
1071	FE	Person	person.n.01
1071	FE	Persistent_characteristic	characteristic.n.02
1071	FE	Descriptor	condition.n.01
1071	FE	Age	age.n.01
1071	FE	Ethnicity	ethnicity.n.01
1071	FE	Context_of_acquaintance	acquaintance.n.01
1071	FE	Rank	social_station.n.01
1071	FE	Place_of_employment	workplace.n.01
1071	FE	Employer	employer.n.01
1071	FE	Type	character.n.05
1071	FE	Compensation	recompense.n.02
1071	LU	politician	politician.np.02
1071	LU	farmer	farmer.n.01
1071	LU	attendant	attendant.n.01
1071	LU	clerk	clerk.n.01
1071	LU	consultant	adviser.n.01
1071	LU	gardener	gardener.n.02
1071	LU	lawyer	lawyer.n.01
1071	LU	maid	maid.n.01
1071	LU	manager	director.n.01
1071	LU	professor	professor.n.01
1071	LU	receptionist	receptionist.n.01
1071	LU	salesman salesman.n.01
1071	LU	servant servant.n.01
1071	LU	waiter	waiter.n.01
1071	LU	carpenter	carpenter.n.01
1071	LU	scientist	scientist.n.01
1071	LU	private_eye	private_detective.n.01
1071	LU	actress	actress.n.01
1071	LU	waitress	waitress.n.01
1071	LU	technician	technician.n.01
1071	LU	toxicologist	toxicologist.n.01
1071	LU	engineer	engineer.n.01
1071	LU	double_agent	double_agent.n.01
1071	LU	researcher	research_worker.n.01
1071	LU	archaeologist	archeologist.n.01
1071	LU	professional	professional.a.04
1071	LU	agent	agent.n.02
1071	LU	journalist	journalist.n.01
1071	LU	judge	judge.n.01
1071	LU	mechanic	machinist.n.01
1071	LU	oilman oilman.n.01
1071	LU	reporter	reporter.n.01
1071	LU	scholar	scholar.n.01
1071	LU	veterinarian	veterinarian.n.01
1071	LU	trader	trader.n.01
1071	LU	mole	counterspy.n.01
1071	LU	spy spy.n.01
1071	LU	businessperson	businessperson.n.01
1071	LU	speculator	speculator.n.02
1071	LU	architect	architect.n.01
1071	LU	plain-clothes_man	officer.n.04'
1071	LU	magistrate	magistrate.n.01
1071	LU	officer	officer.n.04
1071	LU	police_officer	policeman.n.01
1071	LU	spokesperson	spokesperson.n.01
1071	LU	spokesman	spokesman.n.01
1071	LU	spokeswoman	spokeswoman.n.01
1071	LU	policeman	policeman.n.01
1071	LU	bodyguard	bodyguard.n.01
1071	LU	police police.n.01
1071	LU	tailor	tailor.n.01
1071	LU	correspondent	correspondent.n.02
1071	LU	cook	cook.n.01
1071	LU	manservant	manservant.n.01
1071	LU	senator	senator.n.01
1071	LU	attorney	lawyer.n.01
1071	LU	athlete	athlete.n.01
1071	LU	chef	chef.n.01
1071	LU	bartender	bartender.n.01
1071	LU	teacher	teacher.n.01
1071	LU	pilot pilot.n.01
1071	LU	flight_attendant	steward.n.03
1071	LU	server	waiter.n.01
1071	LU	software_developer	programmer.n.01
1071	LU	web_developer programmer.n.01
1071	LU	saleswoman	salesgirl.n.01
1071	LU	salesperson	salesperson.n.01
1071	LU	homemaker	housewife.n.01
1071	LU	student	student.n.01
1071	LU	artist	artist.n.01
1071	LU	musician	musician.n.01
1071	LU	singer	singer.n.01
1071	LU	painter	painter.n.01
1071	LU	dancer dancer.n.01
1071	LU	writer writer.n.01
1071	LU	editor editor.n.01
1071	LU	actor	actor.n.01
1071	LU	producer	producer.n.02
1071	LU	director	director.n.03
1071	LU	designer	draftsman.n.01
1071	LU	neuroscientist	neuroscientist.n.01
1071	LU	biologist	biologist.n.01
1071	LU	chemist	chemist.n.01
1071	LU	physicist	physicist.n.01
1071	LU	anthropologist	anthropologist.n.01
1071	LU	linguist	linguist.n.01
1071	LU	psychologist	psychologist.n.01
1071	LU	psychiatrist	psychiatrist.n.01
1071	LU	mathematician	mathematician.n.01
1071	LU	sociologist	sociologist.n.01
1071	LU	fire_fighter	fireman.n.04
1071	LU	firefighter fireman.n.04
1071	LU	programmer programmer.n.01
1071	LU	driver driver.n.01
1083	name	Subjective_influence	influence.n.04
1083	FE	Cognizer	perceiver.n.01
1083	FE	Situation	situation.n.01
1083	FE	Entity	agent.n.01
1083	FE	Action	reaction.n.04
1083	FE	Behavior	behavior.n.02
1083	FE	Product	product.n.02
1083	FE	Time	time.n.01
1083	FE	Event_description	situation.n.01
1083	FE	Agent	situation.n.01
1083	FE	Place	place.n.06
1083	FE	Domain	domain.n.02
1083	LU	impact	impact.n.02
1083	LU	influential	influential.a.01
1083	LU	inspire	inspire.v.02
1083	LU	influence	influence.v.01
1083	LU	influence	influence.n.04
1083	LU	inspiration	inspiration.n.01
1083	LU	effect	consequence.n.01
1083	LU	impact	affect.v.01
1083	LU	drive	drive.v.07
1083	LU	motivate	motivate.v.01
1083	LU	push push.v.02
1083	LU	galvanize	startle.v.01
1083	LU	coax	wheedle.v.01
1083	LU	entice	entice.v.01
1083	LU	spur	spur.v.01
1083	LU	tempt	entice.v.01
1083	LU	discourage	discourage.v.02
1083	LU	encourage	encourage.v.02
1083	LU	goad goad.v.02
1083	LU	stimulate	stimulate.v.03
1017	name	Noise_makers	noisemaker.n.01
1017	FE	Noise_maker	noisemaker.n.01
1017	FE	Use	function.n.02
1017	FE	Creator	creator.n.02
1017	FE	Time_of_creation	time.n.05
1017	FE	Name	name.n.01
1017	FE	Type	type.n.01
1017	FE	Material	material.n.01
1017	LU	guitar	guitar.n.01
1017	LU	bell	bell.n.01
1017	LU	siren	siren.n.04
1017	LU	piano	piano.n.01
1017	LU	rattle	rattle.n.02
1017	LU	xylophone	marimba.n.01
1017	LU	drum	drum.n.01
1017	LU	cello	cello.n.01
1017	LU	saxophone	sax.n.02
1017	LU	alarm	alarm.n.02
2625	name	Relational_location	location.n.01
2625	FE	Profiled_region	region.n.01
2625	FE	Constituent_parts	parts.n.01
2625	FE	Relative_location	localization.n.01
2625	FE	Formational_cause	causal_agent.n.01
2625	FE	Container_possessor	owner.n.02
2625	FE	Descriptor	descriptor.n.02
2625	FE	Related_event	event.n.02
2625	FE	Inherent_purpose	purpose.n.01
731	name	Becoming_silent	quieten.v.01
731	FE	Speaker	speaker.n.01
731	FE	Topic	subject.n.01
731	FE	Place	topographic_point.n.01
731	FE	Time	time.n.01
731	FE	Expressor	speaker.n.03
731	FE	Manner	manner.n.01 
731	LU	button_(one's)_lip	shush.v.01
731	LU	hold_(one's)_tongue	shush.v.01
731	LU	hush	hush.v.01
731	LU	hush_up	hush.v.02
731	LU	quiet	quieten.v.01
731	LU	quiet_down	quieten.v.01
731	LU	shush	 shush.v.01
731	LU	shut_up	hush.v.02
731	LU	stow_it	quieten.v.01
731	LU	silence	silence.v.02
731	LU	sh	shush.v.01
731	LU	quieten	quieten.v.01
731	LU	pipe_down	quieten.v.01
731	LU	quiet	silence.n.02
731	LU	seal_(one's)_lips	shush.v.01
731	LU	not_a_word	shush.v.01

