noun.attribute | (effectiveness, nsubj)  | noun.communication | (part, obj) | the effectiveness of the governor in clearing up some of the inconsistencies revolving about the sales tax bill may play a part in determining whether it can muster the required two-thirds vote 
noun.act | (nelson, nsubj)  | noun.act | (football, obj) | `` nelson played magnificent football '' , meek praised 
noun.person | (who, nsubj)  | noun.act | (rightfield, obj) | `` spahnie doesn't know how to merely go through the motions '' , remarked enos slaughter , another all-out guy , who played rightfield that day and popped one over the clubhouse 
noun.person | (he, nsubj)  | noun.act | (basketball, obj) | he played basketball there while working toward a law degree 
noun.person | (who, nsubj)  | noun.act | (golf, obj) | for a serious young man who plays golf with a serious intensity , palmer has such an inherent sense of humor that it relieves the strain and keeps his nerves from jangling like banjo strings 
noun.person | (you, nsubj)  | noun.entity | (it, obj) | `` you must play it where it lies '' 
noun.person | (i, nsubj)  | noun.artifact | (ball, obj) | `` i'll do as you say , but i'll also play a provisional ball and get a ruling '' 
noun.person | (who, nsubj)  | noun.time | (saturday, obj) | music for dancing will be furnished by allen uhles and his orchestra , who will play each saturday during june 
noun.artifact | (component, nsubj)  | noun.communication | (part, obj) | trouble-free , long-life , quality components will play an increasingly important part in the merchandising of new housing in 1960 '' , pantas predicted 
noun.person | (he, nsubj)  | noun.act | (role, obj) | now a quiet-spoken , middle-aged man , fiedler is an aeronautical engineer for lockheed's missiles and space division at sunnyvale , where he played a key role in the development of the navy's polaris missile 
noun.person | (who, nsubj)  | noun.animal | (drum, obj) | don , who played drums , hasn't seen his chum since 
noun.person | (they, nsubj)  | noun.communication | (hail, obj) | `` i think they played hail to the chief better than the marine corps band , and we are grateful to them '' , president kennedy remarked after mounting the bandstand and shaking hands with conductor james christian pfohl 
noun.entity | (it, nsubj)  | noun.cognition | (game, obj) | it must play a game in which there never is a winner 
noun.person | (he, nsubj)  | noun.state | (hole, obj) | afterwards , palmer told charlie coe , his last-round partner , that he simply played the hole too fast 
noun.person | (who, nsubj)  | noun.act | (golf, obj) | the lean and leathery oklahoma amateur , who has been playing topnotch tournament golf for many years , refused to let the masters jitters overtake him and closed the tournament with his second straight 69 
noun.person | (palmer, nsubj)  | noun.time | (round, obj) | until late last saturday afternoon palmer had played seven consecutive rounds of golf at the masters -- four last year and three this -- without ever being out of first place 
noun.person | (golfer, nsubj)  | noun.object | (course, obj) | anyone who now doubted that a personal duel was under way had only to watch how these exceptionally gifted golfers were playing this most difficult golf course 
noun.person | (who, nsubj)  | noun.communication | (part, obj) | mobutu promptly flung out the russians , who have not since played any significant part on the local scene , although they have redoubled their obstructionist efforts at un headquarters in new york 
noun.person | (president, nsubj)  | noun.act | (role, obj) | all week long the president clearly was playing a larger personal role in foreign affairs ; ;
noun.person | (we, nsubj)  | noun.artifact | (marimba, obj) | the only response we can think of is the humble one that at least we aren't playing the marimba with our shoes in the united nations , but perhaps the heavy domes in the house of delegates can improve on this feeble effort 
noun.artifact | (band, nsubj)  | noun.communication | (march, obj) | the band should play the rogues' march as a processional , switching to `` hail columbia , happy land '' ! !
noun.person | (he, nsubj)  | noun.communication | (recital, obj) | certainly not in orchestra hall where he has played countless recitals , and where thursday night he celebrated his 20th season with the chicago symphony orchestra , playing the brahms concerto with his own slashing , demon-ridden cadenza melting into the high , pale , pure and lovely song with which a violinist unlocks the heart of the music , or forever finds it closed 
noun.person | (who, nsubj)  | noun.act | (role, obj) | nikolai cherkasov , the russian actor who has played such heroic roles as alexander nevsky and ivan the terrible , performs the lanky don quixote , and does so with a simple dignity that bridges the inner nobility and the surface absurdity of this poignant man 
noun.person | (he, nsubj)  | noun.artifact | (host, obj) | ( he played host at the timex show already mentioned 
noun.person | (who, nsubj)  | noun.process | (sort, obj) | everywhere there are little touches of humor , and the leader of the on-stage band of musicians is an ebullient comedian who plays all sorts of odd instruments with winning warmth 
noun.person | (he, nsubj)  | noun.artifact | (sax, obj) | he plays his sax principally for beauty of tone , rather than for scintillating flights of meaningless improvisations , and he has a quiet way of getting back and restating the melody after the improvising is over 
noun.person | (who, nsubj)  | noun.animal | (drum, obj) | demonstrating the primitive african rhythmic backgrounds of the blues was michael babatunde olatunji , who plays such native drums as the konga and even does a resounding job slapping his own chest 
noun.person | (who, nsubj)  | noun.person | (benefactor, obj) | louis seigner , who formerly played the deluded benefactor opposite ledoux , is the tartuffe of the present production , which he himself directed 
noun.attribute | (specialty, nsubj)  | noun.person | (man, obj) | his normal specialty is playing the good-natured old man , frequently stupid or deluded but never mean or sly 
noun.person | (who, nsubj)  | noun.communication | (jazz, obj) | he is one of the few men in history who plays jazz on a violin 
noun.person | (they, nsubj)  | noun.act | (swing, obj) | they play : `` minor swing '' , `` honeysuckle rose '' , `` beyond the sea '' , `` bricktop '' , `` heavy artillery '' , `` djangology '' , `` after you've gone '' , `` where are you , my love '' ? ?
noun.person | (actor, nsubj)  | noun.act | (role, obj) | the actor plays his role glumly under the lurid direction of don chaffey , as do basil sydney as his unsympathetic father and anton diffring as an innocent bystander 
noun.entity | (it, nsubj)  | noun.act | (role, obj) | they suspect it plays a role in the production of adrenal hormones , and they believe it is essential to the transport of fats throughout the circulatory system 
noun.artifact | (miller, nsubj)  | noun.artifact | (crucible, obj) | the situation in which we find ourselves is brought out with dramatic force in arthur miller's play the crucible , which deals with the salem witch trials 
adj.all | (latter, nsubj)  | noun.act | (role, obj) | the latter plays a prominent role in roman catholic theology and is considered decisive , entirely apart from scripture , in determining the ethical character of birth-prevention methods 
noun.person | (she, nsubj)  | noun.act | (chess, obj) | she played chess with him by postcard 
noun.communication | (authority, nsubj)  | noun.communication | (part, obj) | in general , however , it may be said that when a boy or a girl leaves the high school , the school authorities play little or no part in the decision of what happens next 
noun.person | (he, nsubj)  | noun.artifact | (ball, obj) | babe ruth , of course , was everyone's hero , and everyone knew him , even though relatively few ever saw him play ball 
noun.communication | (ruth, nsubj)  | noun.state | (field, obj) | babe ruth , as he always did in the stadium , played right field to avoid having the sun in his eyes , and tommy thevenow , a rather mediocre hitter who played shortstop for the st louis cardinals , knocked a ball with all his might into the sharp angle formed by the permanent stands and the wooden bleachers , where ruth could not reach it 
noun.person | (who, nsubj)  | noun.act | (shortstop, obj) | babe ruth , as he always did in the stadium , played right field to avoid having the sun in his eyes , and tommy thevenow , a rather mediocre hitter who played shortstop for the st louis cardinals , knocked a ball with all his might into the sharp angle formed by the permanent stands and the wooden bleachers , where ruth could not reach it 
noun.person | (we, nsubj)  | noun.group | (symphony, obj) | we'll play bruckner's fifth symphony in the original version , and mahler's seventh -- the least accessible , known , and played of mahler's works 
noun.person | (sponsor, nsubj)  | noun.act | (role, obj) | the active sponsor of jefferson's measure for religious liberty in virginia , madison played the most influential single role in the drafting of the constitution and in securing its ratification in virginia , founded the first political party in american history , and , as jefferson's secretary of state and his successor in the presidency , guided the nation through the troubled years of our second war with britain 
noun.artifact | (breakwater, nsubj)  | noun.communication | (part, obj) | the most effective political inventions seem to make maximum use of natural harbors and are aware that restraining breakwaters can play only a minor part in the whole scheme 
noun.person | (we, nsubj)  | noun.cognition | (game, obj) | thus shielded , we played many foolish games in comfortable unselfconsciousness ; ;
noun.communication | (art, nsubj)  | noun.act | (role, obj) | in plato's judgment , the arts play a meaningful role in society only in the education of the young , prior to the full development of their intellectual powers 
noun.person | (who, nsubj)  | noun.act | (role, obj) | to perpetuate wealth control led by small groups of individuals who played no role in its creation prevents those with real initiative from coming to the fore , and is basically anti-democratic 
noun.person | (i, nsubj)  | noun.possession | (song, obj) | i played on it my secret songs , unexplained , passionate and peaceful '' 
noun.person | (i, nsubj)  | noun.act | (tune, obj) | while johnny made himself comfortable on the couch , i'd play the tunes for him 
noun.object | (moon, nsubj)  | noun.act | (role, obj) | it was here that the terror-stricken dennis moon played an unrehearsed role during the children's party 
noun.person | (she, nsubj)  | noun.time | (piece, obj) | mama knew she was playing her son's favorite pieces and feeling close to him , and did not disturb her 
noun.communication | (content, nsubj)  | noun.communication | (part, obj) | how literature does this , or for whom , is certainly not clear , but the content , form , and language of the `` message '' , as well as the source , would all play differentiated parts in giving and molding a sense of purpose 
noun.person | (he, nsubj)  | noun.artifact | (house, obj) | i mean something more like freud's concept of the utility of `` play '' to a small child : he plays `` house '' or `` doctor '' or `` fireman '' as a way of mastering slightly frightening experiences , reliving them imaginatively until they are under control 
noun.person | (pope, nsubj)  | noun.cognition | (game, obj) | the pope was playing a dangerous game , with so many balls in the air at once that a misstep would bring them all about his ears , and his only hope was to temporize so that he could take advantage of every change in the delicate balance of european affairs 
noun.artifact | (hulk, nsubj)  | noun.artifact | (guitar, obj) | this huge hulk played the guitar and he would take it along on our walks and play for us as we sat alone in the woods or by the stream 
noun.cognition | (notion, nsubj)  | noun.communication | (part, obj) | and in these organizations certain primal notions played a radiant part , radiant both in the sense of giving light and of being a pole toward which all perspectives converge 
noun.person | (nobody, nsubj)  | noun.possession | (way, obj) | -- since , as courtenay says , `` nobody should play with lives the way we do unless he's motivated by the highest ideals '' 
noun.person | (child, nsubj)  | noun.cognition | (one, obj) | around that statue in the green park where children play and lovers walk in twos and there is a glowing view of the whole city , in that park are the rows of marble busts of garibaldi's fallen men , the ones who one day rushed out of the porta san pancrazio and , under fire all the way , up the long , straight narrow lane to take , then lose the high ground of the villa doria pamphili 
noun.person | (who, nsubj)  | noun.communication | (part, obj) | he will be considered not only great among his contemporaries , but as great among all the americans who have played a part in the country's history since the beginning 
noun.substance | (goitrogen, nsubj)  | noun.act | (role, obj) | there is some evidence that naturally occurring goitrogens may play a role in the development of goitre , particularly in tasmania and australia ( clements and wishart , 1956 ) 
noun.artifact | (level, nsubj)  | noun.act | (role, obj) | besides the presence of goitrogens in the diet , the level of iodine itself in the diet plays a major role in governing the activity of the thyroid gland 
noun.act | (relation, nsubj)  | noun.act | (role, obj) | in addition , the neocortical-hypothalamic relations play a great role in primates , as mirsky's interesting experiment on the `` communication of affect '' demonstrates 
noun.attribute | (balance, nsubj)  | noun.act | (role, obj) | the foregoing remarks imply that the hypothalamic balance plays a crucial role at the crossroads between physiological and pathological forms of emotion 
noun.state | (imbalance, nsubj)  | noun.act | (role, obj) | in view of the important role which emotional disturbances play in the genesis of neurotic and psychotic disorders and the parallelism observed between autonomic states and psychological behavior in several instances , it is further suggested that a hypothalamic imbalance may play an important role in initiating mental changes 
noun.act | (sanction, nsubj)  | noun.communication | (part, obj) | the process of social control is operative insofar as sanctions play a part in the individual's behavior , as well as the group's behavior 
noun.person | (he, nsubj)  | noun.act | (role, obj) | at the end of work one day , the personnel man took the applicants one at a time , asked them to sit behind the receptionist's desk and he then played the role of a number of people who might come to the receptionist with a number of queries and for a number of purposes 
noun.person | (she, nsubj)  | noun.act | (role, obj) | she was hired and was found to be entirely satisfactory when she played the role eight hours a day 
noun.person | (he, nsubj)  | noun.communication | (number, obj) | he played a number of typical situations before observers , other supervisors who kept notes and then explained to him in detail what he did they thought was wrong 
noun.person | (he, nsubj)  | noun.communication | (part, obj) | as sir giles overreach ( how often had he had to play that part , who did not believe a word of it ) , he raised his arm and declaimed : `` where is my honour now '' ? ?
noun.person | (girl, nsubj)  | noun.person | (grownup, obj) | on the christophers' lawn , little girls in white pinafores were playing grownups at a tea party 
noun.person | (he, nsubj)  | noun.act | (role, obj) | -- he had to play a role of self-effacement 
noun.event | (time, nsubj)  | noun.communication | (part, obj) | time plays an essential part in our mortality , and suddenly for no reason he could imagine ( or admit ) the image of peg laughing filled his mind -- so desirable , so lusty , so full of nuances of pleasure and joy 
noun.person | (he, nsubj)  | noun.state | (hole, obj) | then he played nine imaginary holes of golf , choosing his handicap , his irons , his stance , his opponents , and his weather in detail , but the green of the links seemed faded in the light of his business worries 
noun.person | (we, nsubj)  | noun.cognition | (game, obj) | it was late , we were playing kissing games , and jessica and i were called on to kiss in front of the others 
noun.person | (delinquent, nsubj)  | noun.cognition | (game, obj) | back east the more affluent juvenile delinquents , who could afford hyped-up autos instead of switch blades as lethal weapons , played this same game and called it `` chicken '' 
noun.person | (she, nsubj)  | noun.cognition | (game, obj) | usually she marked the few who did thank you , you didn't get that kind much in a place like this : and she played a little game with herself , seeing how downright rude she could act to the others , before they'd take offense , threaten to call the manager 
noun.person | (he, nsubj)  | noun.act | (golf, obj) | but he didn't play golf , didn't seem to belong to any local clubs -- his work took him away a lot , of course -- which probably accounted for his tendency to keep to himself 
noun.artifact | (monitor, nsubj)  | noun.substance | (jet, obj) | there a dozen giant monitors played their seventy-five-foot jets of water against the huge seam of tertiary gravel which was the mountainside 
noun.person | (he, nsubj)  | noun.person | (card, obj) | now , he could only play the last card in what was probably the world's coldest deck 
noun.person | (they, nsubj)  | noun.cognition | (game, obj) | but with bill o'connor on the fiddle , and gran harrow exuberantly shouting `` glory be '' and `` hallelujah '' above their united chant of the lilting old ballads , they played their quaint folk games with all the fervor and abandon of a real celebration 
noun.person | (male, nsubj)  | noun.act | (role, obj) | of course , males play a role there , but believe me when i say you wouldn't enjoy yourself one bit on eromonga 
noun.person | (they, nsubj)  | noun.location | (lot, obj) | school began in august , the hottest part of the year , and for the first few days miss langford was very lenient with the children , letting them play a lot and the new ones sort of get acquainted with one another 
noun.person | (i, nsubj)  | adj.all | (more, obj) | `` i don't believe i'll play any more neither '' 
noun.person | (he, nsubj)  | noun.act | (roulette, obj) | just to test himself , he played roulette for quarters on his old combination , five and seventeen , and within an hour , he had won , surprisingly , twenty dollars 
noun.person | (parker, nsubj)  | noun.person | (bandit, obj) | owen was surprised to see mrs gertrude parker playing the one-arm bandits that were cunningly arranged by the entrance 
noun.person | (he, nsubj)  | noun.entity | (it, obj) | he wondered if he had played it wrong 
noun.person | (he, nsubj)  | noun.food | (bass, obj) | `` but he plays bass with chief crazy horse and his five colts '' ! !
noun.person | (i, nsubj)  | noun.person | (hostess, obj) | as letch's antisocial conduct increased , our invitations decreased and my heart was in my mouth whenever i played hostess at a fashionable `` screenland '' gathering 
noun.person | (i, nsubj)  | noun.person | (girl, obj) | at the same time , however , i availed myself of the services of that great english actor and master of make-up , sir gauntley pratt , to do a `` quickie '' called the mystery of the mad marquess , in which i played a young american girl who inherits a haunted castle on the english moors which is filled with secret passages and sliding panels and , unbeknownst to anyone , is still occupied by an eccentric maniac 
noun.person | (they, nsubj)  | noun.communication | (part, obj) | he had almost forgotten them , although they had played such an important part in his early dreams 
noun.artifact | (spotlight, nsubj)  | verb.stative | (become, obj) | nevertheless , like any other human being upon whom the spotlight of the world plays continually , khrushchev , the anti-personality cultist , has become a comic actor , or thinks he has 
noun.person | (who, nsubj)  | noun.person | (salesman, obj) | cause of all this commotion : squat , pug-nosed , balding , hopelessly ugly jean-pierre bravado , a bogartian figure , who plays a sadistic , amoral , philosophic tasti-freeze salesman in old new-waver fredrico de mille rossilini's endlessly provocative film , a sour sponge 